added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
6/12/26,1087556744450934784,Baseball,190,1952 MVPs (Bobby Shantz / Hank Sauer),,1975,Topps,1975 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087556744450934784-1-CsyH.jpg,,1.99,,,,,,1
6/12/26,1087556768584960000,Baseball,3,Hank Aaron Special: 1958-1961,Milwaukee Braves,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087556768584960000-1-c5Wg.jpg,,3.55,,,,,,1
6/12/26,1087556791108372480,Baseball,602,1974 Rookie Pitchers (Glenn Abbott / Rick Henninger / Craig Swan / Dan Vossler),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556791108372480-1-JQKT.jpg,,2.14,,,,,,1
6/12/26,1087556815594719232,Baseball,601,1974 Rookie Outfielders (Ed Armbrister / Rich Bladt / Brian Downing / Bake McBride),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556815594719232-1-KIBq.jpg,,5.04,,,,,,1
6/12/26,1087556834267760640,Baseball,604,1974 Rookie Infielders (Terry Hughes / John Knox / Andy Thornton / Frank White),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556834267760640-1-kfM1.jpg,,3.00,,,,,,1
6/12/26,1087556859332921344,Baseball,598,1974 Rookie Outfielders (Dave Augustine / Ken Griffey / Steve Ontiveros / Jim Tyrone),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556859332921344-1-GBud.jpg,,7.50,,,,,,1
6/12/26,1087556877821413376,Baseball,603,1974 Rookie Catchers (Barry Foote / Tom Lundstedt / Charlie Moore / Sergio Robles),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556877821413376-1-1ggp.jpg,,2.48,,,,,,1
6/12/26,1087556900411934720,Baseball,202,1973 Home Run Leaders (Reggie Jackson / Willie Stargell),,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087556900411934720-1-GzPy.jpg,,2.80,,,,,,1
6/12/26,1087556921106630656,Baseball,597,1974 Rookie Shortstops (Dave Chalk / John Gamble / Pete Mackanin / Manny Trillo),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556921106630656-1-gQni.jpg,,3.49,,,,,,1
6/12/26,1087556938303277056,Baseball,606,1974 Rookie Outfielders (Jim Fuller / Wilbur Howard / Tommy Smith / Otto Velez),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556938303277056-1-3EWA.jpg,,5.51,,,,,,1
6/12/26,1087556953008506880,Baseball,608a,1974 Rookie Pitchers (Bob Apodaca / Dick Baney / John D'Acquisto / Mike Wallace),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087556953008506880-1-anSP.jpg,,3.00,,,,,,1
6/12/26,1087556997258414080,Baseball,6,Hank Aaron Special: 1970-1973,Atlanta Braves,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087556997258414080-1-tSqi.jpg,,3.25,,,,,,1
6/12/26,1087557015142926336,Baseball,208,1973 Leading Firemen (John Hiller / Mike Marshall),,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087557015142926336-1-TcCy.jpg,,1.28,,,,,,1
6/12/26,1087557032540899328,Baseball,600,1974 Rookie Infielders (Ron Cash / Jim Cox / Bill Madlock / Reggie Sanders),,1974,Topps,1974 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1087557032540899328-1-67I6.jpg,,6.50,,,,,,1
6/12/26,1087557051943749632,Baseball,2,Hank Aaron Special: 1954-1957,Milwaukee Braves,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087557051943749632-1-qqEg.jpg,,3.50,,,,,,1
6/12/26,1087557071917025280,Baseball,179,Mets Field Leaders (Yogi Berra / Joe Pignatano / Rube Walker / Eddie Yost / Roy McMillan),New York Mets,1974,Topps,1974 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087557071917025280-1-6kN.jpg,,3.79,,,,,,1
6/12/26,1087558806924429312,Baseball,425,Tito Fuentes,San Francisco Giants,1975,Topps,1975 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087558806924429312-1-gCxu.jpg,,1.11,,,,,,1
6/12/26,1087558822577571840,Baseball,63,Tito Fuentes,San Diego Padres,1977,Topps,1977 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1087558822577571840-1-RMH5.jpg,,0.74,,,,,,1
